,URL,fichier,train_test,Machine,Machine_ID,son_type,duree_son
3,archive/ToyCar/test/normal_id_02_00000055.wav,normal_id_02_00000055.wav,test,ToyCar,02,normal,11.0
4,archive/ToyCar/test/normal_id_02_00000064.wav,normal_id_02_00000064.wav,test,ToyCar,02,normal,11.0
5,archive/ToyCar/test/normal_id_02_00000031.wav,normal_id_02_00000031.wav,test,ToyCar,02,normal,11.0
6,archive/ToyCar/test/normal_id_02_00000027.wav,normal_id_02_00000027.wav,test,ToyCar,02,normal,11.0
7,archive/ToyCar/test/normal_id_02_00000024.wav,normal_id_02_00000024.wav,test,ToyCar,02,normal,11.0
8,archive/ToyCar/test/normal_id_02_00000040.wav,normal_id_02_00000040.wav,test,ToyCar,02,normal,11.0
9,archive/ToyCar/test/normal_id_02_00000052.wav,normal_id_02_00000052.wav,test,ToyCar,02,normal,11.0
10,archive/ToyCar/test/normal_id_02_00000049.wav,normal_id_02_00000049.wav,test,ToyCar,02,normal,11.0
11,archive/ToyCar/test/normal_id_02_00000038.wav,normal_id_02_00000038.wav,test,ToyCar,02,normal,11.0
12,archive/ToyCar/test/normal_id_02_00000035.wav,normal_id_02_00000035.wav,test,ToyCar,02,normal,11.0
13,archive/ToyCar/test/normal_id_02_00000046.wav,normal_id_02_00000046.wav,test,ToyCar,02,normal,11.0
14,archive/ToyCar/test/normal_id_02_00000047.wav,normal_id_02_00000047.wav,test,ToyCar,02,normal,11.0
15,archive/ToyCar/test/normal_id_02_00000036.wav,normal_id_02_00000036.wav,test,ToyCar,02,normal,11.0
16,archive/ToyCar/test/normal_id_02_00000041.wav,normal_id_02_00000041.wav,test,ToyCar,02,normal,11.0
17,archive/ToyCar/test/normal_id_02_00000023.wav,normal_id_02_00000023.wav,test,ToyCar,02,normal,11.0
18,archive/ToyCar/test/normal_id_02_00000039.wav,normal_id_02_00000039.wav,test,ToyCar,02,normal,11.0
19,archive/ToyCar/test/normal_id_02_00000037.wav,normal_id_02_00000037.wav,test,ToyCar,02,normal,11.0
20,archive/ToyCar/test/normal_id_02_00000029.wav,normal_id_02_00000029.wav,test,ToyCar,02,normal,11.0
21,archive/ToyCar/test/normal_id_02_00000048.wav,normal_id_02_00000048.wav,test,ToyCar,02,normal,11.0
22,archive/ToyCar/test/normal_id_02_00000087.wav,normal_id_02_00000087.wav,test,ToyCar,02,normal,11.0
